RefDes,Name,Pattern,X (mil),Y (mil),Side,Rotate,Value
C1,22u,CAPPR-2.54/5.08,2237.5,3614.1,Top,270,22u
C2,18p,CAP_0805,502.7,3100,Top,90,18p
C3,100n,CAP_0805,730.5,3557.9,Top,180,100n
C4,100n,CAP_0805,2053.1,3641.3,Top,180,100n
C5,100n,CAP_0805,1822.9,3672.7,Top,90,100n
C6,100n,CAP_0805,1827.2,3495,Top,90,100n
C7,18p,CAP_0805,992.1,2730.3,Top,90,18p
C8,470n,CAP_0805,2338.1,2969.8,Top,90,470n
C9,100n,CAP_0805,1416,2400.6,Top,270,100n
C10,10n,CAP_0805,1273.5,2793.9,Top,90,10n
C11,100n,CAP_0805,1834.1,2100.9,Top,90,100n
C12,10n,CAP_0805,1627.9,2493.7,Top,90,10n
C13,100n,CAP_0805,2430.1,3023,Top,90,100n
C14,10n,CAP_0805,2577,3010.9,Top,90,10n
C15,10n,CAP_0805,1187,2129.2,Top,90,10n
C16,10n,CAP_0805,1522.3,1877.9,Top,90,10n
C17,10n,CAP_0805,2482,2490.7,Top,270,10n
C18,100n,CAP_0805,1285.9,1966.2,Top,0,100n
C19,22u,CAPPR-2.54/5.08,2462.5,3614.1,Top,270,22u
D1,DIODE-SOD123,SOD123,2706.7,3683.4,Top,0,1N5819HW
IC1,ATMEGA168,TQFP32-08,1222.7,3554.7,Top,0,ATMEGA328P-AU
IC2,LM4040C50IDBZR,DBZ_R-PDSO-G3,2174.1,3056.3,Top,270,LM4040 5.0V
IC3,TL072D,SO08,1251.9,2534.9,Top,180,MCP6002
IC4,TL072D,SO08,1662.5,2166.4,Top,180,MCP6002
IC5,TL072D,SO08,2506.3,2783.6,Top,0,MCP6002
IC6,74HC595D,SO16,1214.8,1693.8,Top,270,74HC595D
IC7,LM1117,SOT223,2407.3,3296.9,Top,90,LM1117-5.0
J1,MTA-100 bug,MTA100,2720.7,3374.2,Bottom,90,+15v GND -15V
J2,CON_PHONE_JACK3,HDR-1x3T/2.54/7x2,1797.3,3934,Bottom,90,MIDI-IN
J15,AVR_SPI_PRG_6PTH,2X3,2031.3,3287.8,Bottom,180,
L1,WE-CBF_0603,0603,1972.3,3466.1,Top,180,
LED2,LED3MM,LED3MM,1601.3,1708.3,Top,0,
LED3,LED3MM,LED3MM,2090.3,1708,Top,0,
LED4,LED3MM,LED3MM,2577,1708,Top,0,
Q1,CRYSTALHC49UP,HC49UP,505.9,3519.4,Top,270,20MHz
Q2,MMBT3904LT1-NPN-SOT23-BEC,SOT23-BEC,164.9,2722,Top,0,MMBT3904
Q3,MMBT3904LT1-NPN-SOT23-BEC,SOT23-BEC,575.5,2762.3,Top,0,MMBT3904
R1,POT_USVERTICAL_PS,ALPS_POT_VERTICAL_PS,832.9,3902.2,Top,180,10kB
R2,POT_USVERTICAL_PS,ALPS_POT_VERTICAL_PS,1604.8,3204.1,Top,180,10kB
R3,10k,RES_0805,936,3476.6,Top,90,10k
R4,100R,RES_0805,737,3395.7,Top,270,100R
R5,POT_USVERTICAL_PS,ALPS_POT_VERTICAL_PS,2092.8,2662,Top,180,10kB
R6,10k,RES_0805,378.5,2696,Top,270,10k
R7,10k,RES_0805,290.5,2696,Top,270,10k
R8,10k,RES_0805,2345.1,3144.9,Top,180,10k
R9,100k,RES_0805,119.5,2539.5,Top,270,100k
R10,1M,RES_0805,244.9,2485.8,Top,180,1M
R11,100k,RES_0805,537.1,2579.6,Top,270,100k
R12,1M,RES_0805,657.1,2580.1,Top,90,1M
R13,100k,RES_0805,1350.5,2801.7,Top,90,100k
R14,100k,RES_0805,1425.5,2801.7,Top,270,100k
R15,100k,RES_0805,1501.5,2801.7,Top,270,100k
R16,100k,RES_0805,1712.2,2467.7,Top,90,100k
R17,100k,RES_0805,1790,2467.7,Top,270,100k
R18,100k,RES_0805,1869,2467.7,Top,270,100k
R19,100k,RES_0805,2667.5,3018.8,Top,90,100k
R20,100k,RES_0805,2756.3,3018.8,Top,270,100k
R21,100k,RES_0805,2771.3,2785.3,Top,90,100k
R22,100k,RES_0805,1523.6,2619.6,Top,90,100k
R23,100k,RES_0805,1952.8,2259.3,Top,270,100k
R24,100k,RES_0805,2681.3,2864.7,Top,90,100k
R25,POT_USVERTICAL_PS,ALPS_POT_VERTICAL_PS,833.8,2120.8,Top,180,10kB
R26,POT_USVERTICAL_PS,ALPS_POT_VERTICAL_PS,2579.8,2119,Top,180,10kB
R27,100k,RES_0805,1522.4,2417.7,Top,270,100k
R28,100k,RES_0805,1951.2,2095.3,Top,270,100k
R29,100k,RES_0805,2689.2,2643.7,Top,270,100k
R30,100k,RES_0805,1255.8,2137.1,Top,90,100k
R31,100k,RES_0805,1324.5,2137.1,Top,270,100k
R32,100k,RES_0805,1399.5,2137.1,Top,270,100k
R33,100k,RES_0805,1637.5,1885.7,Top,90,100k
R34,100k,RES_0805,1718.8,1885.7,Top,270,100k
R35,100k,RES_0805,1800,1885.7,Top,270,100k
R36,100k,RES_0805,2590.7,2482.5,Top,270,100k
R37,100k,RES_0805,2675.7,2482.5,Top,90,100k
R38,100k,RES_0805,2756.9,2482.5,Top,90,100k
R39,1.0k,RES_0805,1516.1,1568.9,Top,0,1.0k
R40,1.0k,RES_0805,1903.5,1708.9,Top,0,1.0k
R41,1.0k,RES_0805,2405.5,1708.3,Top,0,1.0k
R42,POT_USVERTICAL_PS4,ALPS_POT_VERTICAL_PS4,833.8,1272.7,Top,180,10kB
R43,1.0k,RES_0805,1131.8,1228.3,Top,270,1.0k
R44,1.0k,RES_0805,1271.4,1351.7,Top,270,1.0k
R45,1.0k,RES_0805,1369,1346.6,Top,270,1.0k
R46,POT_USVERTICAL_PS,ALPS_POT_VERTICAL_PS,833.8,374.3,Top,180,10kB
R47,1.0k,RES_0805,1098,947.9,Top,270,1.0k
R48,1.0k,RES_0805,1229.4,796.4,Top,270,1.0k
R49,1.0k,RES_0805,1356.5,966.7,Top,270,1.0k
R50,220R,RES_0805,387.8,1974.4,Top,180,220R
R51,220R,RES_0805,507,1427.7,Top,270,220R
S1,SWITCH_4DIP,SWITCH_DIP-8,343.5,857.1,Bottom,270,
SW1,LP4OA1PBCT,LP4OA1PBCT,834.5,3106.6,Top,90,LP4OA1PBCT
VO1,6N138,DIP-8,359.3,1724.3,Bottom,90,6N138
